type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
text,5,D.4.5,plotpay_other,Describe other,D.4.5 Décrivez l'autre manière dans laquelle vous payez,D.4.5 Décrivez l'autre manière dans laquelle vous payez,Décrivez l'autre manière dans laquelle vous payez,Décrivez l'autre manière dans laquelle vous payez,,,,,,"selected(${plotpay},'4')",,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,5,,work,Labour, Travail,,Travail,,,,,,,,,,,,,
select_multiple household_list,1,D.5.1,hhmem,Which member worked on the plot?,D.5.1 Quels membres ont travaillé sur le champ?,D.5.1 Wanamembe gani wa jamaa ambao walitumika ndani ya shamba,Quels membres ont travaillé sur le champ?,Wanamembe gani wa jamaa ambao walitumika ndani ya shamba,,,,,,,,,,,yes,
select_one yes_no,2,D.5.2,parjouryn,Did you use hired labour,D.5.2 Avez-vous utilisé un travailleur journaillière sur ce champ?,D.5.2 Je! ulitumikisha mfanyakazi kwa siku?,Avez-vous utilisé un travailleur journaillière sur ce champ?,Je! ulitumikisha mfanyakazi kwa siku?,,,,,,,,,,,yes,
integer,3,D.5.3,parjourdays,How many days,D.5.3 Combien des jours avez-vous utilisé le par jour?,D.5.3 Ulitumikisha mfanyakazi kwa siku ngapi?,Combien des jours avez-vous utilisé le par jour?,Ulitumikisha mfanyakazi kwa siku ngapi?,,,,Cette saison B,Cette saison B,${parjouryn}='1',,.<365,,,yes,
select_multiple plotpayment_list,4,D.5.4,workpay,How do you pay,D.5.4 Comment vous paiez c'est travailleur?,D.5.4 Comment vous paiez c'est travailleur?,Comment vous paiez c'est travailleur?,Comment vous paiez c'est travailleur?,,,,Unités dans le prochain page,Unités dans le prochain page,${parjouryn}='1',,,,,yes,
integer,5,D.4.5,workpay_dollar,How many dollars,D.4.5 Combien de dollar est-que vous paiez par jour pour le travailleur?,D.4.5 Combien de dollar est-que vous paiez par jour pour le travailleur?,Combien de dollar est-que vous paiez par jour pour le travailleur?,Combien de dollar est-que vous paiez par jour pour le travailleur?,,,,,,"selected(${workpay},'1')",,,,,,
integer,6,D.4.6,workpay_franc,How many francs,D.4.6 Combien de Franc Congolais est-que vous paiez par jour pour le travailleur?,D.4.6 Combien de Franc Congolais est-que vous paiez par jour pour le travailleur?,Combien de Franc Congolais est-que vous paiez par jour pour le travailleur?,Combien de Franc Congolais est-que vous paiez par jour pour le travailleur?,,,,,,"selected(${workpay},'2')",,,,,,
integer,7,D.4.7,workpay_share,What share,D.4.7 Quel partie de récolte contribuez vous pour le travailleur?,D.4.7 Quel partie de récolte contribuez vous pour le travailleur?,Quel partie de récolte contribuez vous pour le travailleur?,Quel partie de récolte contribuez vous pour le travailleur?,,,,Notez le pourcentage,Notez le pourcentage,"selected(${workpay},'3')",,.<=100,,,,
text,8,D.4.8,workpay_other,Describe other,D.4.8 Décrivez l'autre manière dans laquelle vous payez le travailleur,D.4.8 Décrivez l'autre manière dans laquelle vous payez le travailleur,Décrivez l'autre manière dans laquelle vous payez le travailleur,Décrivez l'autre manière dans laquelle vous payez le travailleur,,,,,,"selected(${workpay},'4')",,,,,,
select_one yes_no,9,D.5.9,asso_yn,Did you work with a work association?,D.5.9 Est-ce qu'un association a travaille sur le champ?,D.5.9 Je! ulitumika na shirika fulani ndani ya shamba? ,Est-ce qu'un association a travaille sur le champ?,Je! ulitumika na shirika fulani ndani ya shamba? ,,,,,,,,,,,yes,
integer,10,D.5.10,assopers,How many persons?,D.5.10 Combien des personnes de l'association ont travaillé sur le champ?,"D.5.10 Ndani ya shamba, ulitumika na watu ngapi kutoka shirika?",Combien des personnes de l'association ont travaillé sur le champ?,"Ndani ya shamba, ulitumika na watu ngapi kutoka shirika?",,,,,,${asso_yn}='1',,.<300,,,yes,
integer,11,D.5.11,assodays,How many days?,D.5.11 Combien de jours l'association a travaille sur le champ?,D.5.11 Ulitumika siku ngapi na shirika ndani ya shamba?,Combien de jours l'association a travaille sur le champ?,Ulitumika siku ngapi na shirika ndani ya shamba?,,,,,,${asso_yn}='1',,.<365,,,yes,
end group,,,work,,,,,,,,,,,,,,,,,
begin group,6,,tech,Technology,Technologies et intrants,Tekinolojia na vifaa vya kilimo,Technologies et intrants,Tekinolojia na vifaa vya kilimo,,,,,,,,,,,,
note,,,tech_instr,Please answer the following question on the use of inputs on any of the crops on this field,Répondez les questions suivantes sur l'utilisation d'intrants agricols.,"Tafadhali, jibu maswali ya fatao kuhusu vifaa vya kilimo",Répondez les questions suivantes sur l'utilisation d'intrants agricols.,"Tafadhali, jibu maswali ya fatao kuhusu vifaa vya kilimo",,,,,,,,,,,,
select_one yes_no,1,D.6.1.1,fert_yn,Did you use inorganic fertilizer on this plot?,D.6.1.1 Est-ce que vous avez utilisé engrais chémique sur ce champ?,D.6.1.1 Je! ulitumikisha mbolea ya kizungu (vifaa vya kuleta rutuba) ndani ya shamba hii?,Est-ce que vous avez utilisé engrais chémique sur ce champ?,Je! ulitumikisha mbolea ya kizungu (vifaa vya kuleta rutuba) ndani ya shamba hii?,,,,,,,,,,,yes,
begin group,1,,fert,inorganic fertilizer,engrais chémique,Mboleo ya kizungu (engrais chimique),engrais chémique,Mboleo ya kizungu (engrais chimique),,,,,,${fert_yn}='1',,,,,,
integer,2,D.6.1.2,fert_qt,How much did you use?,D.6.1.2 Combien est-ce que vous avez utilisé?,D.6.1.2 Ngapi ulitumikisha?,Combien est-ce que vous avez utilisé?,Ngapi ulitumikisha?,,,,,,,,,,,yes,
select_one units_volume,3,D.6.1.3,fert_unit,Unit,D.6.1.3 Unité de mesure,D.6.1.3 Kipimo,Unité de mesure,Kipimo,,,,,,,,,,,yes,
select_one seedsupply_list,4,D.6.1.4,fert_access,How did you get the inorganic fertilizer?,D.6.1.4 Comment avez-vous obtenu l'engrais chémique?,D.6.1.4 Namna gani ulipata mboleo ya kizungu?,Comment avez-vous obtenu l'engrais chémique?,Namna gani ulipata mboleo ya kizungu?,,,,,,,,,,,yes,
text,5,D.6.1.5,fert_accessngo,What is the name of the NGO?,D.6.1.5 Quel est le nom d'ONG?,D.6.1.5 Jina ya shirika (ONG) ni gani?,Quel est le nom d'ONG?,Jina ya shirika (ONG) ni gani?,,,,,,${fert_access}='6',,,,,yes,
text,6,D.6.1.6,fert_accesspers,What is the name of the person?,D.6.1.6 Quel est le nom de personne?,D.6.1.6 Jina la mtu ni nani?,Quel est le nom de personne?,Jina la mtu ni nani?,,,,,,${fert_access}='3' or ${fert_access}='4' or ${fert_access}='5',,,,,yes,
integer,7,D.6.1.7,fert_price,What is the price of inorganic fertilizer?,D.6.1.7 Quel est le prix d' engrais chémique?,D.6.1.7 beyi ya mboleo ya kizungu ni ngapi?,Quel est le prix d' engrais chémique?,beyi ya mboleo ya kizungu ni ngapi?,,,"Enter ""98"" if respondent does not know","Même si l'enquêté n'a pas acheté, il peut savoir le prix.
Notez 98 si l'enquêté ne sait pas.
Unités de monnaie et mesure dans les pages prochaines","Même si l'enquêté n'a pas acheté, il peut savoir le prix.
Notez 98 si l'enquêté ne sait pas.
Unités de monnaie et mesure dans les pages prochaines",,,,,,yes,
select_one currency_list,8,D.6.1.8,fert_pr_curr,Currcency,D.6.1.8 Unité de monnaie,D.6.1.8 Kipimo ya pesa (franga),Unité de monnaie,Kipimo ya pesa (franga),,,,,,${fert_price}!=98,,,,,yes,
select_one units_volume,9,D.6.1.9,fert_pr_unit,Unit,D.6.1.9 Unité de mesure,D.6.1.9 Kipimo,Unité de mesure,Kipimo,,,,,,${fert_price}!=98,,,,,yes,
end group,,,fert,,,,,,,,,,,,,,,,,
select_one yes_no,1,D.6.2.1,org_yn,Did you use organic fertilizer on this plot?,D.6.2.1 Est-ce que vous avez utilisé engrais organique sur ce champ?,D.6.2.1 Ulitumikisha mbolea kutoka majivu na mavi ya wanyama mu shamba?,Est-ce que vous avez utilisé engrais organique sur ce champ?,Ulitumikisha mbolea kutoka majivu na mavi ya wanyama mu shamba?,,,,,,,,,,,yes,
begin group,2,,org,organic fertilizer,engrais organique,Mbolea kutoka majivu na mavi ya wanyama,engrais organique,Mbolea kutoka majivu na mavi ya wanyama,,,,,,${org_yn}='1',,,,,,
integer,2,D.6.2.2,org_qt,How much did you use?,D.6.2.2 Combien est-ce que vous avez utilisé?,D.6.2.2 Ngapi ulitumikisha?,Combien est-ce que vous avez utilisé?,Ngapi ulitumikisha?,,,,,,,,,,,yes,
select_one units_volume,3,D.6.2.3,org_unit,Unit,D.6.2.3 Unité de mesure,D.6.2.3 Kipimo,Unité de mesure,Kipimo,,,,,,,,,,,yes,
select_one seedsupply_list,4,D.6.2.4,org_access,How did you get the organic fertilizer?,D.6.2.4 Comment avez-vous obtenu l'engrais organique?,D.6.2.4 Namna gani ulitumikisha mbolea kutoka majivu na mavi ya wanyama?,Comment avez-vous obtenu l'engrais organique?,Namna gani ulitumikisha mbolea kutoka majivu na mavi ya wanyama?,,,,,,,,,,,yes,
text,5,D.6.2.5,org_accessngo,What is the name of the NGO?,D.6.2.5 Quel est le nom d'ONG?,D.6.2.5 Jina ya shirika (ONG) ni gani?,Quel est le nom d'ONG?,Jina ya shirika (ONG) ni gani?,,,,,,${org_access}='6',,,,,yes,
text,6,D.6.2.6,org_accesspers,What is the name of the person?,D.6.2.6 Quel est le nom de personne?,D.6.2.6 Jina la mtu ni nani?,Quel est le nom de personne?,Jina la mtu ni nani?,,,,,,${org_access}='3' or ${org_access}='4' or ${org_access}='5',,,,,yes,
integer,5,D.6.2.5,org_price,What is the price of organic fertilizer?,D.6.2.5 Quel est le prix d' engrais organique?,D.6.2.5 Beyi ya mbolea kutoka majivu na mavi ya wanyama ni gani?,Quel est le prix d' engrais organique?,Beyi ya mbolea kutoka majivu na mavi ya wanyama ni gani?,,,"Enter ""98"" if respondent does not know","Même si l'enquêté n'a pas acheté, il peut savoir le prix.
Notez 98 si l'enquêté ne sait pas.
Unités de monnaie et mesure dans les pages prochaines","Même si l'enquêté n'a pas acheté, il peut savoir le prix.
Notez 98 si l'enquêté ne sait pas.
Unités de monnaie et mesure dans les pages prochaines",,,,,,yes,
select_one currency_list,6,D.6.2.6,org_pr_curr,Currcency,D.6.2.6 Unité de monnaie,D.6.2.6 Kipimo ya pesa (franga),Unité de monnaie,Kipimo ya pesa (franga),,,,,,${org_price}!=98,,,,,yes,
select_one units_volume,7,D.6.2.7,org_pr_unit,Unit,D.6.2.7 Unité de mesure,D.6.2.7 Kipimo,Unité de mesure,Kipimo,,,,,,${org_price}!=98,,,,,yes,
end group,,,org,,,,,,,,,,,,,,,,,
select_one yes_no,1,D.6.3.1,inoc_yn,Did you use inoculant on this plot?,D.6.3.1 Est-ce que vous avez utilisé inocolum sur ce champ?,D.6.3.1 Ulitumikisha inoculum au yenye kutengenezwa kwa shamba hii?,Est-ce que vous avez utilisé inocolum sur ce champ?,Ulitumikisha inoculum au yenye kutengenezwa kwa shamba hii?,,,,,,,,,,,yes,
begin group,3,,inoc,inoculant,inocolum,Inoculum,,Inoculum,,,,,,${inoc_yn}='1',,,,,,
integer,2,D.6.3.2,inoc_qt,How much did you use?,D.6.3.2 Combien est-ce que vous avez utilisé?,D.6.3.2 Ngapi ulitumikisha?,Combien est-ce que vous avez utilisé?,Ngapi ulitumikisha?,,,,,,,,,,,yes,
select_one units_volume,3,D.6.3.3,inoc_unit,Unit,D.6.3.3 Unité de mesure,D.6.3.3 Kipimo,Unité de mesure,Kipimo,,,,,,,,,,,yes,
select_one seedsupply_list,4,D.6.3.4,inoc_access,How did you get the inoculant?,D.6.3.4 Comment avez-vous obtenu l'inocolum?,D.6.3.4 Namna gani ulipata inoculum?,Comment avez-vous obtenu l'inocolum?,Namna gani ulipata inoculum?,,,,,,,,,,,yes,
text,5,D.6.3.5,inoc_accessngo,What is the name of the NGO?,D.6.3.5 Quel est le nom d'ONG?,D.6.3.5 Jina ya shirika (ONG) ni gani?,Quel est le nom d'ONG?,Jina ya shirika (ONG) ni gani?,,,,,,${inoc_access}='6',,,,,yes,
text,6,D.6.3.6,inoc_accesspers,What is the name of the person?,D.6.3.6 Quel est le nom de personne?,D.6.3.6 Jina la mtu ni nani?,Quel est le nom de personne?,Jina la mtu ni nani?,,,,,,${inoc_access}='3' or ${inoc_access}='4' or ${inoc_access}='5',,,,,yes,
integer,5,D.6.3.5,inoc_price,What is the price of inoculant?,D.6.3.5 Quel est le prix d' inocolum?,D.6.3.5 Beyi ya inoculum ni gampi?,Quel est le prix d' inocolum?,Beyi ya inoculum ni gampi?,,,"Enter ""98"" if respondent does not know","Même si l'enquêté n'a pas acheté, il peut savoir le prix.
Notez 98 si l'enquêté ne sait pas.
Unités de monnaie et mesure dans les pages prochaines","Même si l'enquêté n'a pas acheté, il peut savoir le prix.
Notez 98 si l'enquêté ne sait pas.
Unités de monnaie et mesure dans les pages prochaines",,,,,,yes,
select_one currency_list,6,D.6.3.6,inoc_pr_curr,Currcency,D.6.3.6 Unité de monnaie,D.6.3.6 Kipimo ya pesa (franga),Unité de monnaie,Kipimo ya pesa (franga),,,,,,${inoc_price}!=98,,,,,yes,
select_one units_volume,7,D.6.3.7,inoc_pr_unit,Unit,D.6.3.7 Unité de mesure,D.6.3.7 Kipimo,Unité de mesure,Kipimo,,,,,,${inoc_price}!=98,,,,,yes,
end group,,,inoc,,,,,,,,,,,,,,,,,
end group,,,tech,,,,,,,,,,,,,,,,,
end repeat,,,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,,,
begin group,E,,e_,Section D Credit and Savings,Section E: Credit et epargne,,Credit et epargne,,,,,,,,,,,,,
note,,,credit_note,,Je vais poser quelques question sur le credit et epargne de votre ménage,Ninataka kuuliza maswali machache kuhusu mikopo na akiba ya jamaa yako?,Je vais poser quelques question sur le credit et epargne de votre ménage,Ninataka kuuliza maswali machache kuhusu mikopo na akiba ya jamaa yako?,,,,,,,,,,,,
select_one yes_no,1,E.1,credityn,Did your household take a loan or credit in the last 12 months?,E.1 Est- ce que votre ménage a emprunté l’argent oú pris un credit pendant les 12 mois passé ?,E.1 Je! jamaa yako ilikopa franga (pesa) ama ilikamata mkopo mu myezi kumi na mbili iliyo pita?,Est- ce que votre ménage a emprunté l’argent oú pris un credit pendant les 12 mois passé ?,Je! jamaa yako ilikopa franga (pesa) ama ilikamata mkopo mu myezi kumi na mbili iliyo pita?,,,,,,,,,,,yes,
select_multiple credit_restr_list,2,E.2,creditrestr,Why not?,E.2 Pourquoi pas,E.2 Juu ya nini apana?,Pourquoi pas,Juu ya nini apana?,,,,,,${credityn}='2',,,,,yes,
select_multiple credit_who_list,3,E.3,creditwho,Who did you borrow from?,E.3 De qui vous avez emprunté?,E.3 Ulikopa kwa nani?,De qui vous avez emprunté?,Ulikopa kwa nani?,,,,,,${credityn}='1',,,,,yes,
text,4,E.4,creditwho_oth,Specify,E.4 Specifiez,E.4 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,"selected(${creditwho},'96')",,,,,yes,
select_multiple credit_why_list,5,E.5,creditwhy,What have you taken a loan for?,E.5 Pour quel objective(s)?,E.5 Juu ya nini unatumia mkopo?,Pour quel objective(s)?,Juu ya nini unatumia mkopo?,,,,,,${credityn}='1',,,,,yes,
select_one yes_no,6,E.6,borrowyn,Has your householdlent money to any one else?,E.6 Est-ce que votre ménage prêté d'argent à quelq'un d'autre?,E.6 Je! jamaa yako ilikopesha franga (pesa) kwa mtu mwengine?,Est-ce que votre ménage prêté d'argent à quelq'un d'autre?,Je! jamaa yako ilikopesha franga (pesa) kwa mtu mwengine?,,,,,,,,,,,yes,
select_multiple borrow_who_list,7,E.7,borrowwho,To whom?,E.7 À qui?,E.7 Nani?,À qui?,Nani?,,,,,,${borrowyn}='1',,,,,yes,
text,8,E.8,borrowwho_oth,Specify,E.8 Specifiez,E.8 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,"selected(${borrowwho},'96')",,,,,yes,
select_one yes_no,9,E.9,savingyn,Does your household have a savings account or another form of savings?,E.9 Est-ce que votre ménage a un compte bancaire ou un autre forme d'epargne?,"E.9 Je, jamaa yako ina akaunti kwenye benki (Banque)  au aina nyingine ya kuekesha (kuchunga) pesa?",Est-ce que votre ménage a un compte bancaire ou un autre forme d'epargne?,"Je, jamaa yako ina akaunti kwenye benki (Banque)  au aina nyingine ya kuekesha (kuchunga) pesa?",,,,,,,,,,,yes,
select_multiple saving_type_list,10,E.10,savingtype,What type?,E.10 Quel type(s)?,E.10 Aina gani?,Quel type(s)?,Aina gani?,,,,,,${savingyn}='1',,,,,yes,
text,11,E.11,savingtype_oth,Specify,E.11 Specifiez,E.11 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,"selected(${savingtype},'96')",,,,,yes,
end group,,,,Credit,,,,,,,,,,,,,,,,
begin group,F,,f_,Food security,Section F: Securité alimentaire,Uwepo na upatikanaji wa chakula,Securité alimentaire,Uwepo na upatikanaji wa chakula,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
select_one yes_no,1,F.1,start_occ,"In the past four weeks, did you worry that your household would not have enough food?","F.1 Au cours des quatre dernières semaines, avez-vous préoccupé que votre ménage n'avait pas assez de nourriture?","F.1 Au cours des quatre dernières semaines, avez-vous préoccupé que votre ménage n'avait pas assez de nourriture?","Au cours des quatre dernières semaines, avez-vous préoccupé que votre ménage n'avait pas assez de nourriture?","Au cours des quatre dernières semaines, avez-vous préoccupé que votre ménage n'avait pas assez de nourriture?",,,,,,,,,,,yes,
select_one occur_list,2,F.2,start_occ_fr,How often did this happen?,F.2 Combien de fois est-ce arrivé?,F.2 Combien de fois est-ce arrivé?,Combien de fois est-ce arrivé?,Combien de fois est-ce arrivé?,,,,,,${start_occ}='1',,,,,yes,
select_one yes_no,3,F.3,start_pref,"In the past four weeks, were you or any household member not able to eat the kinds of foods you preferred because of a lack of resources?","F.3 Au cours des quatre dernières semaines, est-ce que vous ou un membre de votre ménage n'a pas pu manger les types d'aliments que vous préférez à cause d'un manque de ressources?","F.3 Au cours des quatre dernières semaines, est-ce que vous ou un membre de votre ménage n'a pas pu manger les types d'aliments que vous préférez à cause d'un manque de ressources?","Au cours des quatre dernières semaines, est-ce que vous ou un membre de votre ménage n'a pas pu manger les types d'aliments que vous préférez à cause d'un manque de ressources?","Au cours des quatre dernières semaines, est-ce que vous ou un membre de votre ménage n'a pas pu manger les types d'aliments que vous préférez à cause d'un manque de ressources?",,,,,,,,,,,yes,
select_one occur_list,4,F.4,start_pref_occ,How often did this happen?,F.4 Combien de fois est-ce arrivé?,F.4 Combien de fois est-ce arrivé?,Combien de fois est-ce arrivé?,Combien de fois est-ce arrivé?,,,,,,${start_pref}='1',,,,,yes,
select_one yes_no,5,F.5,start_var,"In the past four weeks, did you or any household member have to eat a limited variety of foods due to a lack of resources?","F.5 Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé une variété limitée d'aliments à cause d'un manque de ressources?","F.5 Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé une variété limitée d'aliments à cause d'un manque de ressources?","Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé une variété limitée d'aliments à cause d'un manque de ressources?","Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé une variété limitée d'aliments à cause d'un manque de ressources?",,,,,,,,,,,yes,
select_one occur_list,6,F.6,start_var_occ,How often did this happen?,F.6 Combien de fois est-ce arrivé?,F.6 Combien de fois est-ce arrivé?,Combien de fois est-ce arrivé?,Combien de fois est-ce arrivé?,,,,,,${start_var}='1',,,,,yes,
select_one yes_no,7,F.7,start_want,"In the past four weeks, did you or any household member have to eat some foods that you really did not want to eat because of a lack of resources to obtain other types of food?","F.7 Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé certains aliments que vous n'avez vraiment pas envié de manger à cause d'un manque de ressources pour obtenir d'autres types d'aliments?","F.7 Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé certains aliments que vous n'avez vraiment pas envié de manger à cause d'un manque de ressources pour obtenir d'autres types d'aliments?","Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé certains aliments que vous n'avez vraiment pas envié de manger à cause d'un manque de ressources pour obtenir d'autres types d'aliments?","Au cours des quatre dernières semaines, avez-vous ou un membre de votre ménage a mangé certains aliments que vous n'avez vraiment pas envié de manger à cause d'un manque de ressources pour obtenir d'autres types d'aliments?",,,,,,,,,,,yes,
